Record ID,Date and Time,NotificationType,Notification Title,Email Body
11518,10/23/2018 10:38:00 AM,Utility,Con Edison Power Outage - Riverdale Section (BX),"Notification issued 10-23-2018 at 10:38 AM. Con Edison is responding to a power outage in the Riverdale section of The Bronx, including ZIP code 10463. Report power outages to Con Edison at 1-800-752-6633, or if you have a speech or hearing disability, report outages to 1-800-642-2308. Please see http://www.coned.com/ for more information.

If you are affected by the outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1."
11515,10/22/2018 04:05:00 PM,Utility,Power Outage - Maspeth (QN),"Notification issued 10-22-2018 at 4:05 PM. Con Edison is responding to a power outage in the Maspeth section of Queens, including ZIP code 11378. Report power outages to Con Edison at 1-800-752-6633, or if you have a speech or hearing disability, report outages to 1-800-642-2308. Please see http://www.coned.com/ for more information.
If you are affected by the outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1."
11512,10/21/2018 04:25:00 PM,Utility,Power Outage - New Dorp (SI),"Notification issued 10-21-2018 at 4:25 PM. Con Edison is responding to a power outage in the New Dorp section of Staten Island, including ZIP code 10306. Report power outages to Con Edison at 1-800-752-6633, or if you have a speech or hearing disability, report outages to 1-800-642-2308. Please see http://www.coned.com/ for more information.
If you are affected by the outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1."
11498,10/17/2018 08:30:00 PM,Utility,Power Outage - Riverdale Section (BX),"Notification issued 10-17-2018 at 8:30 PM. Con Edison is responding to a power outage in the Riverdale section of The Bronx, including ZIP code(s) 10463. Report power outages to Con Edison at 1-800-752-6633, or if you have a speech or hearing disability, report outages to 1-800-642-2308. Please see http://www.coned.com/ for more information.

If you are affected by the outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1."
11482,10/12/2018 07:08:00 AM,Utility,Con Edison Power Outage - Rego Park (QN),"Notification issued 10-12-2018 at 7:08 AM. Con Edison is responding to a power outage in the Rego Park section of Queens, including ZIP code 11364. Report power outages to Con Edison at 1-800-752-6633, or if you have a speech or hearing disability, report outages to 1-800-642-2308. Please see http://www.coned.com/ for more information.

If you are affected by the outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1."
11424,10/03/2018 12:09:00 AM,Utility,Con Edison Power Outage - Richmond Hill (QN),"Notification issued 10-03-2018 at 12:09 AM. Con Edison is responding to a power outage in the Richmond Hill section of Queens, including ZIP code(s) 11420 and 11419. Report power outages to Con Edison at 1-800-752-6633, or if you have a speech or hearing disability, report outages to 1-800-642-2308. Please see http://www.coned.com/ for more information.

If you are affected by the outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1."
11334,09/18/2018 01:27:00 PM,Utility,Con Edison Power Outage - Midland Beach (SI),"Notification issued 09-18-2018 at 1:27 PM. Con Edison is responding to a power outage in the Midland Beach section of Staten Island, including ZIP codes 10304, 10305, 10306. Report power outages to Con Edison at 1-800-752-6633, or if you have a speech or hearing disability, report outages to 1-800-642-2308. Please see http://www.coned.com/ for more information.

If you are affected by the outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1."
11314,09/16/2018 10:54:00 PM,Utility,Con Edison Power Outage - North East Bronx (BX),"Notification issued 09-16-2018 at 10:54 PM. Con Edison is responding to a power outage in the North East Bronx section of The Bronx, including ZIP code(s) 10475, 10466 and 10469. Report power outages to Con Edison at 1-800-752-6633, or if you have a speech or hearing disability, report outages to 1-800-642-2308. Please see http://www.coned.com/ for more information.

If you are affected by the outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1."
11275,09/10/2018 04:30:00 PM,Utility,Power Outage - Laconia Section (BK),"Notification issued 09-10-2018 at 4:30 PM. Con Edison is responding to a power outage in the Laconia section of The Bronx, including ZIP code(s) 10469. Report power outages to Con Edison at 1-800-752-6633, or if you have a speech or hearing disability, report outages to 1-800-642-2308. Please see http://www.coned.com/ for more information.
If you are affected by the outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1."
11221,09/02/2018 08:40:00 PM,Utility,Power Outage - Washington Heights (MN),"Notification issued 09-02-2018 at 8:40 PM. Con Edison is responding to a power outage in the Washington Heights section of Manhattan, including ZIP code 10040. Report power outages to Con Edison at 1-800-752-6633, or if you have a speech or hearing disability, report outages to 1-800-642-2308. Please see http://www.coned.com/ for more information.

If you are affected by the outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1."
11209,08/31/2018 10:48:00 AM,Utility,Con Edison Power Outage - West Brighton Section (SI),"Notification issued 08-31-2018 at 10:48 AM. Con Edison is responding to a power outage in the West Brighton section of Staten Island, including ZIP code: 10310. Report power outages to Con Edison at 1-800-752-6633, or if you have a speech or hearing disability, report outages to 1-800-642-2308. Please see http://www.coned.com/ for more information.

If you are affected by the outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1."
11207,08/30/2018 01:42:00 PM,Utility,Con Edison Power Outage - Madison Square Section (MN),"Notification issued 08-30-2018 at 1:42 PM. Con Edison is responding to a power outage in the Madison Square section of Manhattan, including ZIP code 10010. Report power outages to Con Edison at 1-800-752-6633, or if you have a speech or hearing disability, report outages to 1-800-642-2308. Please see http://www.coned.com/ for more information.

If you are affected by the outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1."
11204,08/30/2018 12:31:00 AM,Utility,Power Outage - Laurelton Section (QN),"Notification issued 08-30-2018 at 12:24 AM. Con Edison is responding to a power outage in the Laurelton section of Queens, including ZIP code(s) 11422 and 11413. Report power outages to Con Edison at 1-800-752-6633, or if you have a speech or hearing disability, report outages to 1-800-642-2308. Please see http://www.coned.com/ for more information.

If you are affected by the outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1."
11196,08/28/2018 08:23:00 PM,Utility,Power Outage - Morris Heights (BX),"Notification issued 08-28-2018 at 8:23 PM. Con Edison is responding to a power outage in the Morris Heights section of The Bronx, including ZIP code(s) 10453. Report power outages to Con Edison at 1-800-752-6633, or if you have a speech or hearing disability, report outages to 1-800-642-2308. Please see http://www.coned.com/ for more information.

If you are affected by the outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1."
11132,08/15/2018 04:37:00 PM,Utility,Power Outage - New Springville Sectione (SI),"Notification issued 08-15-2018 at 4:37 PM. Con Edison is responding to a power outage in the New Springville section of Staten Island, including ZIP code 10314. Report power outages to Con Edison at 1-800-752-6633, or if you have a speech or hearing disability, report outages to 1-800-642-2308. Please see http://www.coned.com/ for more information.

If you are affected by the outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1."
11096,08/11/2018 08:46:00 AM,Utility,Con Edison Power Outage - Great Kills Section (SI),"Notification issued 08-11-2018 at 8:46 AM. Con Edison is responding to a power outage in the Great Kills Section of Staten Island, including ZIP code 10308. Report power outages to Con Edison at 1-800-752-6633, or if you have a speech or hearing disability, report outages to 1-800-642-2308. Please see http://www.coned.com/ for more information.

If you are affected by the outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1."
11092,08/11/2018 04:52:00 AM,Utility,Power Outage - Prince's Bay (SI),"Notification issued 08-11-2018 at 4:58 AM. Con Edison is responding to a power outage in the Prince's Bay section of Staten Island, in ZIP code 10309. Report power outages to Con Edison at 1-800-752-6633, or if you have a speech or hearing disability, report outages to 1-800-642-2308. Please see http://www.coned.com/ for more information.

If you are affected by the outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1.

To view this message in American Sign Language (ASL), ???????, ??????, ??, Français, Kreyòl Ayisyen, Italiano, ???, Polski, P??????, Español, ???? or ?????? :  http://on.nyc.gov/22lyehC."
11089,08/10/2018 02:08:00 PM,Utility,Con Edison Power Outage - Gravesend (BK),"Con Edison is responding to a power outage in the Gravesend section of Brooklyn, including ZIP code(s) 11223. Report power outages to Con Edison at 1-800-752-6633, or if you have a speech or hearing disability, report outages to 1-800-642-2308. Please see http://www.coned.com/ for more information.

If you are affected by the outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1."
11084,08/09/2018 07:42:00 PM,Utility,Con Edison Power Outage - Huguenot (SI),"Notification issued 08-09-2018 at 7:42 PM. Con Edison is responding to a power outage in the Huguenot section of Staten Island, including ZIP code(s) 10309, 10312. Report power outages to Con Edison at 1-800-752-6633, or if you have a speech or hearing disability, report outages to 1-800-642-2308. Please see http://www.coned.com/ for more information.

If you are affected by the outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1."
11067,08/07/2018 09:25:00 PM,Utility,Power Outage - Various System Wide Outages (BK/BX/QN/SI),"Notification issued 08-07-2018 at 9:25 PM. Con Edison is responding to various power outages system wide in sections in Brooklyn, Queens, Staten Island, and The Bronx. Report power outages to Con Edison at 1-800-752-6633, or if you have a speech or hearing disability, report outages to 1-800-642-2308. Please see http://www.coned.com/ for more information.
If you are affected by the outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1."
11066,08/07/2018 08:15:00 PM,Utility,ConEd Power Outage - Middle Village Section (QN),"Notification issued 08-07-2018 at 8:15 PM. Con Edison is responding to a power outage in the Middle Village section of Queens, including ZIP code 11379. Report power outages to Con Edison at 1-800-752-6633, or if you have a speech or hearing disability, report outages to 1-800-642-2308. Please see http://www.coned.com/ for more information.

If you are affected by the outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1."
11063,08/07/2018 06:19:00 PM,Utility,ConEd Power Outage - Cypress Hill Section (BK),"Notification issued 08-07-2018 at 6:15 PM. Con Edison is responding to a power outage in the Cypress Hills section of Brooklyn, including ZIP code 11208. Report power outages to Con Edison at 1-800-752-6633, or if you have a speech or hearing disability, report outages to 1-800-642-2308. Please see http://www.coned.com/ for more information.

If you are affected by the outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1."
11059,08/06/2018 08:57:00 PM,Utility,ConEd Power Outage - Riverdale Section (BX),"Notification issued 08-06-2018 at 8:57 PM. Con Edison is responding to a power outage in the Riverdale section of The Bronx, including ZIP code 10471. Report power outages to Con Edison at 1-800-752-6633, or if you have a speech or hearing disability, report outages to 1-800-642-2308. Please see http://www.coned.com/ for more information.
If you are affected by the outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1."
11045,08/04/2018 10:05:00 PM,Utility,Con Edison Power Outage - Laurelton (QN),"Notification issued 08-04-2018 at 10:05 PM. Con Edison is responding to a power outage in the Laurelton section of Queens, including ZIP code(s) 11422 and 11413. Report power outages to Con Edison at 1-800-752-6633, or if you have a speech or hearing disability, report outages to 1-800-642-2308. Please see http://www.coned.com/ for more information.

If you are affected by the outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1."
11036,08/03/2018 04:10:00 PM,Utility,Con Edison Power Outage - Bath Beach (BK),"Notification issued 08-03-2018 at 4:08 PM. Con Edison is responding to a power outage in the Bath Beach section of Brooklyn, including ZIP code(s) 11214. Report power outages to Con Edison at 1-800-752-6633, or if you have a speech or hearing disability, report outages to 1-800-642-2308. Please see http://www.coned.com/ for more information.

If you are affected by the outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1."
11035,08/03/2018 03:30:00 PM,Utility,Con Edison Power Outage - New Springville (SI),"Notification issued 08-03-2018 at 3:30 PM. Con Edison is responding to a power outage in the New Springville section of Staten Island, including ZIP code(s) 10314, 10306. Report power outages to Con Edison at 1-800-752-6633, or if you have a speech or hearing disability, report outages to 1-800-642-2308. Please see http://www.coned.com/ for more information.

If you are affected by the outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1."
11024,08/02/2018 07:35:00 AM,Utility,Con Edison Power Outage - Glen Oaks Section (QN),"Notification issued 08-02-2018 at 7:35 AM. Con Edison is responding to a power outage in the Glen Oaks section of Queens, including ZIP codes 11004, 11426, 11427, 11428. Report power outages to Con Edison at 1-800-752-6633, or if you have a speech or hearing disability, report outages to 1-800-642-2308. Please see http://www.coned.com/ for more information.

If you are affected by the outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1."
11004,07/27/2018 07:45:00 PM,Utility,Con Edison Power Outages (SI),"Notification issued 07-27-2018 at 7:45 PM. Con Edison is responding to various power outage in Staten Island. Report power outages to Con Edison at 1-800-752-6633, or if you have a speech or hearing disability, report outages to 1-800-642-2308. Please see http://www.coned.com/ for more information.

If you are affected by the outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1."
10983,07/26/2018 02:45:00 PM,Utility,Con Edison Power Outage (BK),"Notification issued 07-26-2018 at 2:45 PM. Con Edison is responding to a power outage in the Dyker Heights section of Brooklyn, including ZIP code(s) 11228, 11219. Report power outages to Con Edison at 1-800-752-6633, or if you have a speech or hearing disability, report outages to 1-800-642-2308. Please see http://www.coned.com/ for more information.

If you are affected by the outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1."
10980,07/25/2018 11:25:00 AM,Utility,Con Edison Power Outage - Middle Village (QN),"Notification issued 07-25-2018 at 11:25 AM. Con Edison is responding to a power outage in the Middle Village section of Queens, including ZIP code(s) 11377, 11378, 11379. Report power outages to Con Edison at 1-800-752-6633, or if you have a speech or hearing disability, report outages to 1-800-642-2308. Please see http://www.coned.com/ for more information.

If you are affected by the outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1."
10949,07/23/2018 12:58:00 AM,Utility,Con Edison Power Outage - Middle Village (QN),"Notification issued 07-23-2018 at 12:58 AM. Con Edison is responding to a power outage in the Middle Village section of Queens, including ZIP code(s) 11373, 11378, and 11379. Report power outages to Con Edison at 1-800-752-6633, or if you have a speech or hearing disability, report outages to 1-800-642-2308. Please see http://www.coned.com/ for more information.

If you are affected by the outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1."
10964,07/22/2018 04:25:00 AM,Utility,Con Edison Power Outage - West Brighton (SI),"Notification issued 07-22-2018 at 4:25 AM. Con Edison is responding to a power outage in the West Brighton section of Staten Island, including ZIP code(s) 10310. Report power outages to Con Edison at 1-800-752-6633, or if you have a speech or hearing disability, report outages to 1-800-642-2308. Please see http://www.coned.com/ for more information.

If you are affected by the outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1."
10963,07/22/2018 03:52:00 AM,Utility,Con Edison Power Outage - Dyker Heights (BK),"Notification issued 07-22-2018 at 3:52 AM. Con Edison is responding to a power outage in the Dyker Heights section of Brooklyn, including ZIP code(s) 11228. Report power outages to Con Edison at 1-800-752-6633, or if you have a speech or hearing disability, report outages to 1-800-642-2308. Please see http://www.coned.com/ for more information.

If you are affected by the outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1."
10961,07/22/2018 02:30:00 AM,Utility,Con Edison Power Outage - Sheepshead Bay (BK),"Notification issued 07-22-2018 at 2:30 AM. Con Edison is responding to a power outage in the Sheepshead Bay section of Brooklyn, including ZIP code(s) 11235. Report power outages to Con Edison at 1-800-752-6633, or if you have a speech or hearing disability, report outages to 1-800-642-2308. Please see http://www.coned.com/ for more information.

If you are affected by the outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1"
10952,07/20/2018 03:25:00 PM,Utility,Con Edison Power Outage - Jamaica (QN),"Notification issued 07-20-2018 at 3:25 PM. Con Edison is responding to a power outage in the Jamaica section of Queens, including ZIP code(s) 11413, 11422. Report power outages to Con Edison at 1-800-752-6633, or if you have a speech or hearing disability, report outages to 1-800-642-2308. Please see http://www.coned.com/ for more information.

If you are affected by the outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1."
10935,07/17/2018 08:08:00 PM,Utility,Power Outage - South Jamaica (QN),"Notification issued 07-17-2018 at 8:08 PM. Con Edison is responding to a power outage in the South Jamaica section of Queens, including ZIP code(s) 11429, and 11433. Report power outages to Con Edison at 1-800-752-6633, or if you have a speech or hearing disability, report outages to 1-800-642-2308. Please see http://www.coned.com/ for more information.

If you are affected by the outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1."
10910,07/14/2018 05:00:00 PM,Utility,Power Outage - Far Rockaway (QN),"Notification issued 07-14-2018 at 5:00 PM. PSEG Long Island is responding to a power outage in the Far Rockaway section of Queens, including parts of ZIP code(s): 11691. Report power outages to PSEG Long Island at 1-800-490-0075, or if you have a speech or hearing disability, report outages to 1-631-755-6660.

If you are affected by the outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1."
10909,07/14/2018 09:53:00 AM,Utility,Con Edison Power Outage - Jamaica (QN),"Notification issued 07-14-2018 at 9:53 AM. Con Edison is responding to a power outage in the Jamaica area of Queens, including ZIP codes 11426, 11428, and 11429. Report power outages to Con Edison at 1-800-752-6633, or if you have a speech or hearing disability, report outages to 1-800-642-2308. Please see http://www.coned.com/ for more information.

If you are affected by the outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1."
10851,07/09/2018 01:21:00 PM,Utility,Power Outage - Bayridge Section (BK),"Notification issued 07-09-2018 at 1:15 PM. Con Edison is responding to a power outage in the Dyker Heights section of Brooklyn, including ZIP code(s) 11219 and 11228. Report power outages to Con Edison at 1-800-752-6633, or if you have a speech or hearing disability, report outages to 1-800-642-2308. Please see http://www.coned.com/ for more information.
If you are affected by the outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1."
10869,07/08/2018 09:34:00 AM,Utility,Power Outage - Brookville Section (QN),"Notification issued 07-08-2018 at 9:29 AM. Con Edison is responding to a power outage in the Brookville section of Queens, including ZIP code 11413. Report power outages to Con Edison at 1-800-752-6633, or if you have a speech or hearing disability, report outages to 1-800-642-2308. Please see http://www.coned.com/ for more information.
If you are affected by the outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1."
